"Y","t.k","r.i","L","Env","MAXT","MINT","RAIN","HUMIDITY","SUNSH","G","Rep","Group","Yield","Wind"
"2001",2001,1970,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR1","1","Medium",6.12,2.19937557603687
"2001",2001,1970,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR1","2","Medium",6.72,2.19937557603687
"2001",2001,1970,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR1","3","Medium",6.83,2.19937557603687
"2001",2001,1973,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR3","2","Long",8.16,2.19937557603687
"2001",2001,1973,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR3","3","Long",8.21,2.19937557603687
"2001",2001,1978,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR8","2","Long",5.99,2.19937557603687
"2001",2001,1978,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR8","3","Long",5.89,2.19937557603687
"2001",2001,1971,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR2","3","Long",5.42,2.19937557603687
"2001",2001,1983,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR14","3","Long",6.69,2.19937557603687
"2001",2001,1983,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR16","2","Long",6.97,2.19937557603687
"2001",2001,1971,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR2","2","Long",6.27,2.19937557603687
"2001",2001,1983,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR14","2","Long",6.8,2.19937557603687
"2001",2001,1985,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR19","2","Long",5.91,2.19937557603687
"2001",2001,1985,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR19","3","Long",7.03,2.19937557603687
"2001",2001,1998,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BRRI dhan35","2","Medium",7.5,2.19937557603687
"2001",2001,1985,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR19","1","Long",6.86,2.19937557603687
"2001",2001,1985,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR18","3","Long",5.22,2.19937557603687
"2001",2001,1985,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR18","2","Long",5.72,2.19937557603687
"2001",2001,1994,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BRRI dhan28","2","Short",5.61,2.19937557603687
"2001",2001,1998,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BRRI dhan35","3","Medium",7.58,2.19937557603687
"2001",2001,1994,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BRRI dhan28","3","Short",7.35,2.19937557603687
"2001",2001,1985,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR17","1","Medium",6.38,2.19937557603687
"2001",2001,1985,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR17","2","Medium",6.81,2.19937557603687
"2001",2001,1983,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR16","1","Long",7.1,2.19937557603687
"2001",2001,1983,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR14","1","Long",5.68,2.19937557603687
"2001",2001,1977,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR6","3","Short",5.6,2.19937557603687
"2001",2001,1983,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR16","3","Long",7.15,2.19937557603687
"2001",2001,1985,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR17","3","Medium",6.01,2.19937557603687
"2001",2001,1983,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR15","3","Long",7.32,2.19937557603687
"2001",2001,1994,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BRRI dhan29","3","Long",3.34,2.19937557603687
"2001",2001,1983,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR15","1","Long",6.92,2.19937557603687
"2001",2001,1977,"BARISHAL","2001-BARISHAL",29.5939971198157,16.768232718894,291,81.8519614055299,8.11439276113671,"BR6","1","Short",6.01,2.19937557603687
