"Y","t.k","r.i","L","Env","MAXT","MINT","RAIN","HUMIDITY","SUNSH","G","Rep","Group","Yield","WIND"
"2001",2001,1998,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan37","3","Long",2.59,3.33713933691756
"2001",2001,1992,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR25","2","Medium",3.72,3.33713933691756
"2001",2001,1998,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan38","1","Long",2.56,3.33713933691756
"2001",2001,1976,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR5","3","Long",2.43,3.33713933691756
"2001",2001,1980,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR11","1","Long",3.66,3.33713933691756
"2001",2001,1994,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan30","3","Long",4.01,3.33713933691756
"2001",2001,1998,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan38","3","Long",2.58,3.33713933691756
"2001",2001,1992,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR25","1","Medium",4.27,3.33713933691756
"2001",2001,1999,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan39","1","Medium",2.82,3.33713933691756
"2001",2001,1980,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR11","2","Long",3.72,3.33713933691756
"2001",2001,1980,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR11","3","Long",3.85,3.33713933691756
"2001",2001,1997,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan34","3","Medium",2.3,3.33713933691756
"2001",2001,1994,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan32","1","Medium",4.02,3.33713933691756
"2001",2001,1994,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan32","2","Medium",4.25,3.33713933691756
"2001",2001,1988,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR23","1","Long",4.61,3.33713933691756
"2001",2001,1975,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR4","1","Long",3.29,3.33713933691756
"2001",2001,1997,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan33","1","Short",2.41,3.33713933691756
"2001",2001,1997,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan33","2","Short",2.96,3.33713933691756
"2001",2001,1997,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan33","3","Short",2.79,3.33713933691756
"2001",2001,1988,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR22","3","Long",4.28,3.33713933691756
"2001",2001,1994,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan31","3","Long",3.08,3.33713933691756
"2001",2001,1973,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR3","3","Long",2.43,3.33713933691756
"2001",2001,1997,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan34","1","Medium",2.52,3.33713933691756
"2001",2001,1988,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR22","1","Long",4.24,3.33713933691756
"2001",2001,1994,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan32","3","Medium",4.33,3.33713933691756
"2001",2001,1975,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR4","2","Long",3.73,3.33713933691756
"2001",2001,1999,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan39","3","Medium",2.57,3.33713933691756
"2001",2001,1975,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR4","3","Long",3.52,3.33713933691756
"2001",2001,1994,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan31","2","Long",3.52,3.33713933691756
"2001",2001,1997,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan34","2","Medium",1.86,3.33713933691756
"2001",2001,1998,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan38","2","Long",2.73,3.33713933691756
"2001",2001,1976,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR5","2","Long",2.38,3.33713933691756
"2001",2001,1998,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan37","1","Long",2.23,3.33713933691756
"2002",2002,1994,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BRRI dhan30","1","Long",4.95,3.17705421146953
"2002",2002,1997,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BRRI dhan33","1","Short",4,3.17705421146953
"2002",2002,1998,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BRRI dhan38","3","Long",3.9,3.17705421146953
"2002",2002,1994,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BRRI dhan30","3","Long",4.2,3.17705421146953
"2002",2002,1975,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BR4","1","Long",4.75,3.17705421146953
